text,label_id
candidato pobres chegando ontem tarde aeroporto congonhas sp ferrari vale um milhao oitocentos mil,1
empresa frauda apuração votos pt,1
ministro mercadante protestou estados municipios atrapalhando plano bolsonaro partido psl,1
esquema fake news respeito jair bolsonaro revelado declaracao sobre salario feminicidio,1
foram movimentadas cargas roubadas somam oitocentos milhoes toneladas trinta sete portos brasileiros,2
sempre pronuncia palavra fascista referindo lula alguem presenciou haddad pt,1
torturado fernando haddad pt vice presidente mourao noticia divulgada,1
governadores presidente manifestaram apoio contrario debate candidato fernando haddad pt,1
projeto seguranca aprovado bolsonaro vinte oito anos depois mandato pt,2
fernando haddad aparece vinte cinco porcento acima pesquisa data folha,2
sera criada creche comunitaria estado objetivo olhar filhos relata jair bolsonaro,1
gastos cidade sao paulo aumentou treze porcento mandato fernando haddad pt,1
supremo tribunal federal divulgou tabela nacional constitucional,1
diferenca nove pontos afasta vitoria fernando haddad pt,1
rio janeiro criara hospitais universitarios federais mandato fernando haddad,2
empregos criados passam vinte milhoes durante doze anos pt,2
plano governo haddad pt tem proposta criar estatais indo contra proposta bolsonaro psl,1
proponho violencia diz defensor partido jair bolsonaro,1
brasil nao sufoca ricos todo mundo pode falar jair bolsonaro tera protecao,1
vice canditado mourao falou citou acabar decimo terceiro salario mandato canditado jair bolsonaro,1
numeros empregos estados unidos cresce governo trump,2
kit distribuido governo federal escolas publicas programa criado mec,1
audio haddad vazado falando bolsonaro epoca frequentou exercito,1
haddad cita mandamentos livro escrito lenin repercutiu entre partidos,1
movimento lula livre tem prisao maconha apreendida entre manifestantes,1
candidato chega aeroporto congonhas ferrari vale um milhao oitocentos mil,1
bolsonaro encontra bispo edir macedo provoca polemica lado imagem padroeira brasil,1
pl torna ato pedofilia legal criancas partir doze anos duzentos trinta seis casos deixaria ser crime,1
site sobre politica internacional declarou entao deputado federal jair bolsonaro politico honesto mundo,1
brasil maior paises utiliza agrotoxicos mundo durante governo pt,2
adversario jair bolsonaro canditado fernando haddad pt contra tortura,2
